method,best_lambda,test_reg_n_mean,test_reg_n_std,test_fair_mean,test_fair_std,train_reg_n_mean,train_fair_mean,n_seeds,fairness_type,alpha
fpto,0.0,0.0499879778695632,0.0007779990104171505,0.00573692661921086,0.0005293918035446387,0.04956839707511246,0.00457730629057636,5,atkinson,0.5
fdfl-scal,2.0,0.07494255754263184,0.0012894627813170188,0.01526631787351548,0.0013861431130716972,0.07462398070222448,0.013659347332439379,5,atkinson,0.5
fplg,2.0,0.07384003931122037,0.0012407182160279445,0.015244744885581678,0.0013835096593815958,0.07352633718497598,0.013635964992534139,5,atkinson,0.5
pcgrad,0.0,0.05002001315198308,0.000745017883406118,0.00566641256462326,0.00045941977007273114,0.0495694978191762,0.0042963334296068,5,atkinson,0.5
mgda,0.0,0.0758834743231412,0.0013544195076321064,0.01527320164176664,0.001387545129313742,0.07555211459477881,0.013667419141175799,5,atkinson,0.5
saa,0.0,0.07537386480283788,0.00023638369394222113,0.01000237914722968,0.00116162230427718,0.07503410957550742,0.00892316656239644,5,atkinson,0.5
wdro,0.0,0.04896243480498448,0.00048516786604934443,0.00512073829228324,0.0004615915792271751,0.04851795121587034,0.00403306368496148,5,atkinson,0.5
fpto,0.0,0.15336680839612707,0.003298459142600201,0.00573692661921086,0.0005293918035446387,0.15356519993659856,0.00457730629057636,5,atkinson,2.0
fdfl-scal,0.0,0.13065094296849572,0.0019382704250540982,0.006938646532337341,0.0005983905230199618,0.12810789840110154,0.00534019396965864,5,atkinson,2.0
fplg,1.0,0.12735128477071275,0.00198682189092572,0.00789372249622074,0.0006146776566027996,0.12205530696325777,0.0062392173257740996,5,atkinson,2.0
pcgrad,0.0,0.12840121161689488,0.0019654279346135637,0.00867022205092364,0.0018611637841563311,0.12381036773374562,0.00414628425018422,5,atkinson,2.0
mgda,0.0,0.1530113051758864,0.004219315587582715,0.012775811903602441,0.000954246739438565,0.15384886562258276,0.01116874578594028,5,atkinson,2.0
saa,0.0,0.2794809136529963,0.002414282585825644,0.01000237914722968,0.00116162230427718,0.27969060551046054,0.00892316656239644,5,atkinson,2.0
wdro,0.0,0.1498628967964504,0.002358717816679975,0.00512073829228324,0.0004615915792271751,0.14967795518259558,0.00403306368496148,5,atkinson,2.0
fpto,2.0,0.04988158109263532,0.0007810141690633083,0.6442757787467814,0.040802538801555495,0.04946732271417166,0.45105738073387214,5,bias_parity,0.5
fdfl-scal,2.0,0.07461925391462058,0.0013071027775044732,2.522972354334837,0.06611608483251398,0.07430393445105565,2.35504491316523,5,bias_parity,0.5
fplg,2.0,0.07383882103662016,0.0012410399283674476,2.5206940793600565,0.06602378124351525,0.07352511641652086,2.3527497945247235,5,bias_parity,0.5
pcgrad,0.0,0.04976358869457998,0.0008490176182463499,0.290714277167867,0.09479919834814339,0.04935221777551678,0.07559377585473932,5,bias_parity,0.5
mgda,0.0,0.07587048242600229,0.0013520483236177342,2.526612049795115,0.0662218064942479,0.07553919677421468,2.3586926504842785,5,bias_parity,0.5
saa,0.0,0.07537386480283788,0.00023638369394222113,2.5263998160922636,0.06652036516866384,0.07503410957550742,2.3584172674767925,5,bias_parity,0.5
wdro,0.0,0.04896243480498448,0.00048516786604934443,0.9346206507307869,0.054975383308213804,0.04851795121587034,0.7575596044418634,5,bias_parity,0.5
fpto,2.0,0.15228592565461446,0.003167050709471323,0.6442757787467814,0.040802538801555495,0.15246658345650918,0.45105738073387214,5,bias_parity,2.0
fdfl-scal,2.0,0.1305208878219739,0.0019318861648700695,0.7298176765197375,0.09394460777683315,0.12797144651393838,0.5403915836185827,5,bias_parity,2.0
fplg,1.0,0.12732989169724723,0.001994053411699813,0.5612677821662968,0.09512356875818456,0.12203274072179689,0.3689403596072375,5,bias_parity,2.0
pcgrad,0.0,0.1291112441209627,0.0020798122055942477,0.37190548393705075,0.1988359001209786,0.12419298147081817,0.1576739110343768,5,bias_parity,2.0
mgda,0.0,0.15037698145431527,0.006769012731843446,2.170000180596143,0.061502980188589254,0.15134131722811947,1.9970516635338744,5,bias_parity,2.0
saa,0.0,0.2794809136529963,0.002414282585825644,2.5263998160922636,0.06652036516866384,0.27969060551046054,2.3584172674767925,5,bias_parity,2.0
wdro,0.0,0.1498628967964504,0.002358717816679975,0.9346206507307869,0.054975383308213804,0.14967795518259558,0.7575596044418634,5,bias_parity,2.0
fpto,0.0,0.0499879778695632,0.0007779990104171505,1.750320991357847,0.08909545356833547,0.04956839707511246,1.7645144921057216,5,dp,0.5
fdfl-scal,0.0,0.07494470426710348,0.001289177356523473,0.0033357671371031005,0.0029438864157819416,0.07462611819677381,0.0033811314616013,5,dp,0.5
fplg,2.0,0.07384057714480127,0.0012401527803565387,0.00581654305101156,0.004018353495283711,0.07352688154583335,0.00578453361862402,5,dp,0.5
pcgrad,0.0,0.0583079400446456,0.0020101767806447067,0.13437902656991652,0.0948529080069479,0.05784449213359598,0.0035498033105498803,5,dp,0.5
mgda,0.0,0.07587434590561945,0.0013494744193746132,0.0030136948699678403,0.0019567284349617663,0.0755428781740619,0.0029543856534914,5,dp,0.5
saa,0.0,0.07537386480283788,0.00023638369394222113,0.001,0.0,0.07503410957550742,0.001,5,dp,0.5
wdro,0.0,0.04896243480498448,0.00048516786604934443,1.5917798189252346,0.09546889858131574,0.04851795121587034,1.6008584247524695,5,dp,0.5
fpto,0.0,0.15336680839612707,0.003298459142600201,1.750320991357847,0.08909545356833547,0.15356519993659856,1.7645144921057216,5,dp,2.0
fdfl-scal,0.0,0.13065094296849572,0.0019382704250540982,1.7321089996857615,0.13744993113936518,0.12810789840110154,1.7419643563692777,5,dp,2.0
fplg,1.0,0.12738231709384046,0.0019937091456663576,1.899985432519695,0.1350152703530093,0.12208165222226444,1.9124540205737652,5,dp,2.0
pcgrad,0.0,0.1362701133714695,0.0036259177313419286,0.5530106789088862,0.3971334966518933,0.13106034185709706,0.25116658698237204,5,dp,2.0
mgda,0.0,0.15409234325281712,0.002765855095982444,0.30291880332276555,0.05413706565589697,0.1549825104447176,0.3027348443105679,5,dp,2.0
saa,0.0,0.2794809136529963,0.002414282585825644,0.001,0.0,0.27969060551046054,0.001,5,dp,2.0
wdro,0.0,0.1498628967964504,0.002358717816679975,1.5917798189252346,0.09546889858131574,0.14967795518259558,1.6008584247524695,5,dp,2.0
fpto,0.5,0.04950231137709774,0.0005734956268508882,22.09557494688689,0.798650604405231,0.048924846421389015,16.51673851504218,5,mad,0.5
fdfl-scal,0.5,0.06527006505040443,0.003588115555060231,112.17211600958755,6.971835099536011,0.0649935775181964,103.67305332377921,5,mad,0.5
fplg,2.0,0.07350325553751412,0.0012584184461360253,119.3087207262032,5.5945948512082335,0.0731892767996602,110.97010543548421,5,mad,0.5
pcgrad,0.0,0.04875281802419184,0.00042804652405183905,21.281941689514824,0.5786182385406731,0.04778212005167008,11.795131933218011,5,mad,0.5
mgda,0.0,0.07587048242600229,0.0013520483236177342,120.00205381628678,5.616151313584414,0.07553919677421468,111.65340924472882,5,mad,0.5
saa,0.0,0.07537386480283788,0.00023638369394222113,58.49829518393752,3.6469320607130817,0.07503410957550742,54.26638949555483,5,mad,0.5
wdro,0.0,0.04896243480498448,0.00048516786604934443,21.008077053262856,0.8508358677799815,0.04851795121587034,18.134491253048946,5,mad,0.5
fpto,0.5,0.1522245544072312,0.0024887859903049503,22.09557494688689,0.798650604405231,0.15224918179790406,16.51673851504218,5,mad,2.0
fdfl-scal,0.0,0.13065094296849572,0.0019382704250540982,22.875702687861107,1.1805962817205233,0.12810789840110154,19.16442096166611,5,mad,2.0
fplg,0.5,0.1274993673423638,0.00196264264460725,25.10997760221623,1.0641064316227344,0.12316437669535345,19.68405179959642,5,mad,2.0
pcgrad,0.0,0.12819696542569203,0.0018899663432143748,27.385976244800457,2.8705252317640944,0.12372973674549914,17.588629522185478,5,mad,2.0
mgda,0.0,0.13092525848674375,0.001347105839267521,27.733912692741928,1.7906071098615954,0.12876742508446565,18.459253907157724,5,mad,2.0
saa,0.0,0.2794809136529963,0.002414282585825644,58.49829518393752,3.6469320607130817,0.27969060551046054,54.26638949555483,5,mad,2.0
wdro,0.0,0.1498628967964504,0.002358717816679975,21.008077053262856,0.8508358677799815,0.14967795518259558,18.134491253048946,5,mad,2.0
